query_terms	preference_comparison	preference_judgment
royal commission Hutchins child abuse apology Anglican church	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse apology Anglican church	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse apology Anglican church	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse apology Anglican church	audio_corrected_synt vs. audio_metadata_synt	corrected
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_corrected_synt vs. audio_metadata_synt	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_corrected_synt vs. audio_metadata_synt	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_corrected_synt vs. audio_metadata_synt	corrected
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_corrected_synt vs. audio_metadata_synt	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_corrected_synt vs. audio_metadata_synt	No preference
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_corrected_synt vs. audio_metadata_synt	corrected
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_corrected_synt vs. audio_metadata_synt	corrected
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_corrected_synt vs. audio_metadata_synt	No preference
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_corrected_synt vs. audio_metadata_synt	metadata
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_corrected_synt vs. audio_metadata_synt	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_corrected_synt vs. audio_metadata_synt	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_corrected_synt vs. audio_metadata_synt	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_corrected_synt vs. audio_metadata_synt	No preference
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_corrected_synt vs. audio_metadata_synt	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_corrected_synt vs. audio_metadata_synt	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_corrected_synt vs. audio_metadata_synt	No preference
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_corrected_synt vs. audio_metadata_synt	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_corrected_synt vs. audio_metadata_synt	corrected
protest vote against gold company executive pay	audio_corrected_synt vs. audio_metadata_synt	corrected
protest vote against gold company executive pay	audio_corrected_synt vs. audio_metadata_synt	metadata
protest vote against gold company executive pay	audio_corrected_synt vs. audio_metadata_synt	No preference
protest vote against gold company executive pay	audio_corrected_synt vs. audio_metadata_synt	metadata
protest vote against gold company executive pay	audio_corrected_synt vs. audio_metadata_synt	corrected
protest vote against gold company executive pay	audio_corrected_synt vs. audio_metadata_synt	No preference
protest vote against gold company executive pay	audio_corrected_synt vs. audio_metadata_synt	corrected
trade union royal commission report released Gillard CFMEU	audio_corrected_synt vs. audio_metadata_synt	metadata
trade union royal commission report released Gillard CFMEU	audio_corrected_synt vs. audio_metadata_synt	metadata
trade union royal commission report released Gillard CFMEU	audio_corrected_synt vs. audio_metadata_synt	No preference
trade union royal commission report released Gillard CFMEU	audio_corrected_synt vs. audio_metadata_synt	corrected
trade union royal commission report released Gillard CFMEU	audio_corrected_synt vs. audio_metadata_synt	metadata
trade union royal commission report released Gillard CFMEU	audio_corrected_synt vs. audio_metadata_synt	metadata
trade union royal commission report released Gillard CFMEU	audio_corrected_synt vs. audio_metadata_synt	metadata
